Nom	Nature	Classe	Structure	Effort nominal	Tau	Effort transversal en DP	Tau en DP	Caché	Hauteur totale	Element de base	Nom CAPFT	NomGESPOT	Description	Largeurbase	Epaisseurbase	bC3	bC3C	Graphique
9 A 2,5     	BE	A   	S	2.5	0.35	-1	1000	0	9	-1	9 A 2,5     		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
9 A 3       	BE	A   	S	3	0.35	-1	1000	0	9	-1	9 A 3       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 4       	BE	A   	S	4	0.35	-1	1000	0	9	-1	9 A 4       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 5       	BE	A   	S	5	0.35	-1	1000	0	9	-1	9 A 5       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 6,5     	BE	A   	S	6.5	0.35	-1	1000	0	9	-1	9 A 6,5     		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 8       	BE	A   	S	8	0.35	-1	1000	0	9	-1	9 A 8       		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 10      	BE	A   	S	10	0.35	-1	1000	0	9	-1	9 A 10      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 12,5    	BE	A   	S	12.5	0.35	-1	1000	0	9	-1	9 A 12,5    		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
9 A 16      	BE	A   	S	16	0.35	-1	1000	0	9	-1	9 A 16      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
9 A 20      	BE	A   	S	20	0.35	-1	1000	0	9	-1	9 A 20      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
9 A 25      	BE	A   	S	25	0.35	-1	1000	0	9	-1	9 A 25      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
9 B 2       	BE	B   	S	2	0.6	-1	1000	0	9	-1	9 B 2       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
9 B 2,5     	BE	B   	S	2.5	0.6	-1	1000	0	9	-1	9 B 2,5     		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
9 B 3       	BE	B   	S	3	0.6	-1	1000	0	9	-1	9 B 3       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
9 B 4       	BE	B   	S	4	0.6	-1	1000	0	9	-1	9 B 4       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
9 B 5       	BE	B   	S	5	0.6	-1	1000	0	9	-1	9 B 5       		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
9 B 6,5     	BE	B   	S	6.5	0.6	-1	1000	0	9	-1	9 B 6,5     		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
9 B 8       	BE	B   	S	8	0.6	-1	1000	0	9	-1	9 B 8       		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
9 B 10      	BE	B   	S	10	0.6	-1	1000	0	9	-1	9 B 10      		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
9 B 12,5    	BE	B   	S	12.5	0.6	-1	1000	0	9	-1	9 B 12,5    		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
9 B 16      	BE	B   	S	16	0.6	-1	1000	0	9	-1	9 B 16      		Ancien poteau béton simple rectangulaire	300	460	0	0	RECT
9 B 20      	BE	B   	S	20	0.6	-1	1000	0	9	-1	9 B 20      		Ancien poteau béton simple rectangulaire	324	500	0	0	RECT
9 B 25      	BE	B   	S	25	0.6	-1	1000	0	9	-1	9 B 25      		Ancien poteau béton simple rectangulaire	348	540	0	0	RECT
9 B 32      	BE	B   	S	32	0.6	-1	1000	0	9	-1	9 B 32      		Ancien poteau béton simple rectangulaire	348	540	0	0	RECT
9 C 1,5     	BE	C   	S	1.5	1	-1	1000	0	9	-1	9 C 1,5     		Ancien poteau béton simple carré ou rond	280	280	0	0	CARRE
9 C 2       	BE	C   	S	2	1	-1	1000	0	9	-1	9 C 2       		Ancien poteau béton simple carré ou rond	280	280	0	0	CARRE
9 C 2,5     	BE	C   	S	2.5	1	-1	1000	0	9	-1	9 C 2,5     		Ancien poteau béton simple carré ou rond	310	310	0	0	CARRE
9 C 3       	BE	C   	S	3	1	-1	1000	0	9	-1	9 C 3       		Ancien poteau béton simple carré ou rond	310	310	0	0	CARRE
9 C 4       	BE	C   	S	4	1	-1	1000	0	9	-1	9 C 4       		Ancien poteau béton simple carré ou rond	310	310	0	0	CARRE
9 C 5       	BE	C   	S	5	1	-1	1000	0	9	-1	9 C 5       		Ancien poteau béton simple carré ou rond	345	345	0	0	CARRE
9 C 6,5     	BE	C   	S	6.5	1	-1	1000	0	9	-1	9 C 6,5     		Ancien poteau béton simple carré ou rond	345	345	0	0	CARRE
9 C 8       	BE	C   	S	8	1	-1	1000	0	9	-1	9 C 8       		Ancien poteau béton simple carré ou rond	380	380	0	0	CARRE
9 C 10      	BE	C   	S	10	1	-1	1000	0	9	-1	9 C 10      		Ancien poteau béton simple carré ou rond	380	380	0	0	CARRE
9 C 12,5    	BE	C   	S	12.5	1	-1	1000	0	9	-1	9 C 12,5    		Ancien poteau béton simple carré ou rond	415	415	0	0	CARRE
9 C 16      	BE	C   	S	16	1	-1	1000	0	9	-1	9 C 16      		Ancien poteau béton simple carré ou rond	450	450	0	0	CARRE
9 C 20      	BE	C   	S	20	1	-1	1000	0	9	-1	9 C 20      		Ancien poteau béton simple carré ou rond	450	450	0	0	CARRE
9 C 25      	BE	C   	S	25	1	-1	1000	0	9	-1	9 C 25      		Ancien poteau béton simple carré ou rond	485	485	0	0	CARRE
9 C 32      	BE	C   	S	32	1	-1	1000	0	9	-1	9 C 32      		Ancien poteau béton simple carré ou rond	520	520	0	0	CARRE
9 C 40      	BE	C   	S	40	1	-1	1000	0	9	-1	9 C 40      		Ancien poteau béton simple carré ou rond	520	520	0	0	CARRE
9 JA 1,50   	BE	JA  	S	3	0.35	-1	1000	0	9	-1	9 JA 1,50   		Ancien poteau béton jumelé	344	340	0	0	RECTD
9 JA 2      	BE	JA  	S	4	0.35	-1	1000	0	9	-1	9 JA 2      		Ancien poteau béton jumelé	344	340	0	0	RECTD
9 JA 2,5    	BE	JA  	S	5	0.35	-1	1000	0	9	-1	9 JA 2,5    		Ancien poteau béton jumelé	344	340	0	0	RECTD
9 JA 3      	BE	JA  	S	6	0.35	-1	1000	0	9	-1	9 JA 3      		Ancien poteau béton jumelé	376	380	0	0	RECTD
9 JA 4      	BE	JA  	S	8	0.35	-1	1000	0	9	-1	9 JA 4      		Ancien poteau béton jumelé	376	380	0	0	RECTD
9 JA 5      	BE	JA  	S	10	0.35	-1	1000	0	9	-1	9 JA 5      		Ancien poteau béton jumelé	376	380	0	0	RECTD
9 JA 6,5    	BE	JA  	S	13	0.35	-1	1000	0	9	-1	9 JA 6,5    		Ancien poteau béton jumelé	408	420	0	0	RECTD
9 JA 8      	BE	JA  	S	16	0.35	-1	1000	0	9	-1	9 JA 8      		Ancien poteau béton jumelé	408	420	0	0	RECTD
9 JA 10     	BE	JA  	S	20	0.35	-1	1000	0	9	-1	9 JA 10     		Ancien poteau béton jumelé	408	420	0	0	RECTD
9 JA 12,5   	BE	JA  	S	25	0.35	-1	1000	0	9	-1	9 JA 12,5   		Ancien poteau béton jumelé	440	460	0	0	RECTD
9 JA 16     	BE	JA  	S	32	0.35	-1	1000	0	9	-1	9 JA 16     		Ancien poteau béton jumelé	440	460	0	0	RECTD
9 JA 20     	BE	JA  	S	40	0.35	-1	1000	0	9	-1	9 JA 20     		Ancien poteau béton jumelé	472	500	0	0	RECTD
9 JA 25     	BE	JA  	S	50	0.35	-1	1000	0	9	-1	9 JA 25     		Ancien poteau béton jumelé	472	500	0	0	RECTD
9 JB 2      	BE	JB  	S	4	0.6	-1	1000	0	9	-1	9 JB 2      		Ancien poteau béton jumelé	456	340	0	0	RECTD
9 JB 2,5    	BE	JB  	S	5	0.6	-1	1000	0	9	-1	9 JB 2,5    		Ancien poteau béton jumelé	456	340	0	0	RECTD
9 JB 3      	BE	JB  	S	6	0.6	-1	1000	0	9	-1	9 JB 3      		Ancien poteau béton jumelé	456	340	0	0	RECTD
9 JB 4      	BE	JB  	S	8	0.6	-1	1000	0	9	-1	9 JB 4      		Ancien poteau béton jumelé	456	340	0	0	RECTD
9 JB 5      	BE	JB  	S	10	0.6	-1	1000	0	9	-1	9 JB 5      		Ancien poteau béton jumelé	504	380	0	0	RECTD
9 JB 6,5    	BE	JB  	S	13	0.6	-1	1000	0	9	-1	9 JB 6,5    		Ancien poteau béton jumelé	504	380	0	0	RECTD
9 JB 8      	BE	JB  	S	16	0.6	-1	1000	0	9	-1	9 JB 8      		Ancien poteau béton jumelé	552	420	0	0	RECTD
9 JB 10     	BE	JB  	S	20	0.6	-1	1000	0	9	-1	9 JB 10     		Ancien poteau béton jumelé	552	420	0	0	RECTD
9 JB 12,5   	BE	JB  	S	25	0.6	-1	1000	0	9	-1	9 JB 12,5   		Ancien poteau béton jumelé	552	420	0	0	RECTD
9 JB 16     	BE	JB  	S	32	0.6	-1	1000	0	9	-1	9 JB 16     		Ancien poteau béton jumelé	600	460	0	0	RECTD
9 JB 20     	BE	JB  	S	40	0.6	-1	1000	0	9	-1	9 JB 20     		Ancien poteau béton jumelé	648	500	0	0	RECTD
9 JB 25     	BE	JB  	S	50	0.6	-1	1000	0	9	-1	9 JB 25     		Ancien poteau béton jumelé	696	540	0	0	RECTD
9 JC 1,5    	BE	JC  	S	3	1	-1	1000	0	9	-1	9 JC 1,5    		Ancien poteau béton jumelé	280	560	0	0	RECTD
9 JC 2      	BE	JC  	S	4	1	-1	1000	0	9	-1	9 JC 2      		Ancien poteau béton jumelé	280	560	0	0	RECTD
9 JC 2,5    	BE	JC  	S	5	1	-1	1000	0	9	-1	9 JC 2,5    		Ancien poteau béton jumelé	310	620	0	0	RECTD
9 JC 3      	BE	JC  	S	6	1	-1	1000	0	9	-1	9 JC 3      		Ancien poteau béton jumelé	310	620	0	0	RECTD
9 JC 4      	BE	JC  	S	8	1	-1	1000	0	9	-1	9 JC 4      		Ancien poteau béton jumelé	310	620	0	0	RECTD
9 JC 5      	BE	JC  	S	10	1	-1	1000	0	9	-1	9 JC 5      		Ancien poteau béton jumelé	345	690	0	0	RECTD
9 JC 6,5    	BE	JC  	S	13	1	-1	1000	0	9	-1	9 JC 6,5    		Ancien poteau béton jumelé	345	690	0	0	RECTD
9 JC 8      	BE	JC  	S	16	1	-1	1000	0	9	-1	9 JC 8      		Ancien poteau béton jumelé	380	760	0	0	RECTD
9 JC 10     	BE	JC  	S	20	1	-1	1000	0	9	-1	9 JC 10     		Ancien poteau béton jumelé	380	760	0	0	RECTD
9 JC 12,5   	BE	JC  	S	25	1	-1	1000	0	9	-1	9 JC 12,5   		Ancien poteau béton jumelé	415	830	0	0	RECTD
9 JC 16     	BE	JC  	S	32	1	-1	1000	0	9	-1	9 JC 16     		Ancien poteau béton jumelé	450	900	0	0	RECTD
9 JC 20     	BE	JC  	S	40	1	-1	1000	0	9	-1	9 JC 20     		Ancien poteau béton jumelé	450	900	0	0	RECTD
9 JC 25     	BE	JC  	S	50	1	-1	1000	0	9	-1	9 JC 25     		Ancien poteau béton jumelé	485	970	0	0	RECTD
9 JD 1,25   	BE	JD  	S	2.5	0.5	-1	1000	0	9	-1	9 JD 1,25   		Béton rectangulaire jumelé	456	320	60	55	RECTD
9 JD 1,6    	BE	JD  	S	3.2	0.5	-1	1000	0	9	-1	9 JD 1,6    		Béton rectangulaire jumelé	456	320	60	60	RECTD
9 JD 2      	BE	JD  	S	4	0.5	-1	1000	0	9	-1	9 JD 2      		Béton rectangulaire jumelé	476	340	60	60	RECTD
9 JD 2,5    	BE	JD  	S	5	0.5	-1	1000	0	9	-1	9 JD 2,5    		Béton rectangulaire jumelé	476	340	60	65	RECTD
9 JD 3,2    	BE	JD  	S	6.5	0.5	-1	1000	0	9	-1	9 JD 3,2    		Béton rectangulaire jumelé	516	380	70	70	RECTD
9 JD 4      	BE	JD  	S	8	0.5	-1	1000	0	9	-1	9 JD 4      		Béton rectangulaire jumelé	516	380	70	75	RECTD
9 JD 5      	BE	JD  	S	10	0.5	-1	1000	0	9	-1	9 JD 5      		Béton rectangulaire jumelé	556	420	70	80	RECTD
9 JD 6,5    	BE	JD  	S	12.5	0.5	-1	1000	0	9	-1	9 JD 6,5    		Béton rectangulaire jumelé	556	420	70	80	RECTD
10 S 1      	BO	S   	S	1	0	0.35	0	0	10	-1	10 S 1      		Simple bois	192	192	35	35	RONDBT
10 S 1,4    	BO	S   	S	1.4	0	0.45	0	0	10	-1	10 S 1,4    		Simple bois	207	207	35	40	RONDBT
10 S 1,9    	BO	S   	S	1.9	0	0.65	0	0	10	-1	10 S 1,9    		Simple bois	227	227	40	45	RONDBT
10 S 2,55   	BO	S   	S	2.55	0	0.85	0	0	10	-1	10 S 2,55   		Simple bois	248	248	45	65	RONDBT
10 S 3,25   	BO	S   	S	3.25	0	1.1	0	0	10	-1	10 S 3,25   		Simple bois	268	268	60	85	RONDBT
10 S 4,3    	BO	S   	S	4.3	0	1.5	0	0	10	-1	10 S 4,3    		Simple bois	293	293	75	90	RONDBT
10 S 5,5    	BO	S   	S	5.5	0	2	0	0	10	-1	10 S 5,5    		Simple bois	313	313	80	0	RONDBT
10 JS 1     	BO	JS  	S	2.55	0.85	1	0.66	0	10	-1	10 JS 1     		Jumelé bois	192	384	60	80	RONDD
10 JS 1,4   	BO	JS  	S	3.2	0.85	1.4	0.66	0	10	-1	10 JS 1,4   		Jumelé bois	207	414	70	90	RONDD
10 JS 1,9   	BO	JS  	S	5	0.85	2	0.66	0	10	-1	10 JS 1,9   		Jumelé bois	227	454	90	0	RONDD
10 JS 2,55  	BO	JS  	S	6.5	0.85	2.6	0.66	0	10	-1	10 JS 2,55  		Jumelé bois	248	496	105	0	RONDD
10 JS 3,25  	BO	JS  	S	8	0.85	3.3	0.66	0	10	-1	10 JS 3,25  		Jumelé bois	268	536	130	0	RONDD
10 JS 4,3   	BO	JS  	S	10.1	0.85	4.3	0.66	0	10	-1	10 JS 4,3   		Jumelé bois	293	586	140	0	RONDD
10 JS 5,5   	BO	JS  	S	14	0.85	5.5	0.66	0	10	-1	10 JS 5,5   		Jumelé bois	313	626	145	0	RONDD
10 CFY 1,4  	BO	CFY 	S	6.5	0.5	6.5	0.15	0	10	-1	10 CFY 1,4  		Contrefiché bois    	414	414	0	30	RONDD
10 CFY 2,55 	BO	CFY 	S	10	0.5	10	0.15	0	10	-1	10 CFY 2,55 		Contrefiché bois    	496	496	40	45	RONDD
10 CFZ 1,4  	BO	CFZ 	S	9.3	0.35	9.3	0.1	0	10	-1	10 CFZ 1,4  		Contrefiché bois    	414	414	40	45	RONDD
10 CFZ 2,55 	BO	CFZ 	S	16	0.35	16	0.1	0	10	-1	10 CFZ 2,55 		Contrefiché bois    	496	496	50	65	RONDD
10 HS 1,9   	BO	HS  	S	16	0.1	16	0.04	0	10	-1	10 HS 1,9   		Haubané bois	227	227	40	45	RONDH
10 HS 2,55  	BO	HS  	S	20	0.1	20	0.04	0	10	-1	10 HS 2,55  		Haubané bois	248	248	45	65	RONDH
10 HS 3,25  	BO	HS  	S	25	0.1	25	0.04	0	10	-1	10 HS 3,25  		Haubané bois	268	268	60	85	RONDH
10 CH 1,9   	BO	CH  	S	16	0.25	16	0.09	0	10	-1	10 CH 1,9   		Chevron bois       	454	454	55	70	RONDD
10 CH 2,55  	BO	CH  	S	20	0.25	20	0.09	0	10	-1	10 CH 2,55  		Chevron bois       	496	496	70	85	RONDD
10 CH 3,25  	BO	CH  	S	25	0.25	25	0.09	0	10	-1	10 CH 3,25  		Chevron bois       	536	536	80	0	RONDD
10 D 1,25   	BE	D   	S	1.25	0.5	-1	1000	0	10	-1	10 D 1,25   		Béton simple rectangulaire	240	340	40	55	RECT
10 D 1,6    	BE	D   	S	1.6	0.5	-1	1000	0	10	-1	10 D 1,6    		Béton simple rectangulaire	240	340	40	55	RECT
10 D 2      	BE	D   	S	2	0.5	-1	1000	0	10	-1	10 D 2      		Béton simple rectangulaire	250	360	40	60	RECT
10 D 2,5    	BE	D   	S	2.5	0.5	-1	1000	0	10	-1	10 D 2,5    		Béton simple rectangulaire	250	360	40	60	RECT
10 D 3,2    	BE	D   	S	3.2	0.5	-1	1000	0	10	-1	10 D 3,2    		Béton simple rectangulaire	270	400	40	65	RECT
10 D 4      	BE	D   	S	4	0.5	-1	1000	0	10	-1	10 D 4      		Béton simple rectangulaire	270	400	40	65	RECT
10 D 5      	BE	D   	S	5	0.5	-1	1000	0	10	-1	10 D 5      		Béton simple rectangulaire	290	440	40	70	RECT
10 D 6,5    	BE	D   	S	6.5	0.5	-1	1000	0	10	-1	10 D 6,5    		Béton simple rectangulaire	290	440	55	75	RECT
10 D 8      	BE	D   	S	8	0.5	-1	1000	0	10	-1	10 D 8      		Béton simple rectangulaire	310	480	60	80	RECT
10 D 10     	BE	D   	S	10	0.5	-1	1000	0	10	-1	10 D 10     		Béton simple rectangulaire	330	520	65	80	RECT
10 D 12,5   	BE	D   	S	12.5	0.5	-1	1000	0	10	-1	10 D 12,5   		Béton simple rectangulaire	330	520	70	85	RECT
10 D 16     	BE	D   	S	16	0.5	-1	1000	0	10	-1	10 D 16     		Béton simple rectangulaire	350	560	85	0	RECT
10 E 8      	BE	E   	S	8	0	-1	1000	0	10	-1	10 E 8      		Béton simple carré	450	450	60	80	CARRE
10 E 10     	BE	E   	S	10	0	-1	1000	0	10	-1	10 E 10     		Béton simple carré	475	475	65	80	CARRE
10 E 12,5   	BE	E   	S	12.5	0	-1	1000	0	10	-1	10 E 12,5   		Béton simple carré	500	500	70	85	CARRE
10 E 16     	BE	E   	S	16	0	-1	1000	0	10	-1	10 E 16     		Béton simple carré	525	525	85	0	CARRE
10 E 20     	BE	E   	S	20	0	-1	1000	0	10	-1	10 E 20     		Béton simple carré	550	550	110	0	CARRE
10 E 25     	BE	E   	S	25	0	-1	1000	0	10	-1	10 E 25     		Béton simple carré	550	550	130	0	CARRE
10 E 32     	BE	E   	S	32	0	-1	1000	0	10	-1	10 E 32     		Béton simple carré	575	575	160	0	CARRE
10 E 40     	BE	E   	S	40	0	-1	1000	0	10	-1	10 E 40     		Béton simple carré	600	600	180	0	CARRE
10 JE 8     	BE	JE  	S	16	0	-1	1000	0	10	-1	10 JE 8     		Béton carré jumelé	450	900	85	0	RECTD
10 JE 10    	BE	JE  	S	20	0	-1	1000	0	10	-1	10 JE 10    		Béton carré jumelé	475	950	110	0	RECTD
10 JE 12,5  	BE	JE  	S	25	0	-1	1000	0	10	-1	10 JE 12,5  		Béton carré jumelé	500	1000	130	0	RECTD
10 JE 16    	BE	JE  	S	32	0	-1	1000	0	10	-1	10 JE 16    		Béton carré jumelé	525	1050	160	0	RECTD
10 JE 20    	BE	JE  	S	40	0	-1	1000	0	10	-1	10 JE 20    		Béton carré jumelé	550	1100	180	0	RECTD
10 JE 25    	BE	JE  	S	50	0	-1	1000	0	10	-1	10 JE 25    		Béton carré jumelé	550	1100	200	0	RECTD
10 JE 32    	BE	JE  	S	64	0	-1	1000	0	10	-1	10 JE 32    		Béton carré jumelé	575	1150	220	0	RECTD
10 JE 40    	BE	JE  	S	80	0	-1	1000	0	10	-1	10 JE 40    		Béton carré jumelé	600	1200	240	0	RECTD
10 A 1,50   	BE	A   	S	1.5	0.35	-1	1000	0	10	-1	10 A 1,50   		Ancien poteau béton simple rectangulaire	212	440	0	0	RECT
10 A 2      	BE	A   	S	2	0.35	-1	1000	0	10	-1	10 A 2      		Ancien poteau béton simple rectangulaire	180	360	0	0	RECT
10 A 2,5    	BE	A   	S	2.5	0.35	-1	1000	0	10	-1	10 A 2,5    		Ancien poteau béton simple rectangulaire	180	360	0	0	RECT
10 A 3      	BE	A   	S	3	0.35	-1	1000	0	10	-1	10 A 3      		Ancien poteau béton simple rectangulaire	196	400	0	0	RECT
10 A 4      	BE	A   	S	4	0.35	-1	1000	0	10	-1	10 A 4      		Ancien poteau béton simple rectangulaire	196	400	0	0	RECT
10 A 5      	BE	A   	S	5	0.35	-1	1000	0	10	-1	10 A 5      		Ancien poteau béton simple rectangulaire	196	400	0	0	RECT
10 A 6,5    	BE	A   	S	6.5	0.35	-1	1000	0	10	-1	10 A 6,5    		Ancien poteau béton simple rectangulaire	212	440	0	0	RECT
10 A 8      	BE	A   	S	8	0.35	-1	1000	0	10	-1	10 A 8      		Ancien poteau béton simple rectangulaire	212	440	0	0	RECT
10 A 10     	BE	A   	S	10	0.35	-1	1000	0	10	-1	10 A 10     		Ancien poteau béton simple rectangulaire	212	440	0	0	RECT
10 A 12,5   	BE	A   	S	12.5	0.35	-1	1000	0	10	-1	10 A 12,5   		Ancien poteau béton simple rectangulaire	228	480	0	0	RECT
10 A 16     	BE	A   	S	16	0.35	-1	1000	0	10	-1	10 A 16     		Ancien poteau béton simple rectangulaire	228	480	0	0	RECT
10 A 20     	BE	A   	S	20	0.35	-1	1000	0	10	-1	10 A 20     		Ancien poteau béton simple rectangulaire	244	520	0	0	RECT
10 A 25     	BE	A   	S	25	0.35	-1	1000	0	10	-1	10 A 25     		Ancien poteau béton simple rectangulaire	244	520	0	0	RECT
10 B 2      	BE	B   	S	2	0.6	-1	1000	0	10	-1	10 B 2      		Ancien poteau béton simple rectangulaire	240	360	0	0	RECT
10 B 2,5    	BE	B   	S	2.5	0.6	-1	1000	0	10	-1	10 B 2,5    		Ancien poteau béton simple rectangulaire	240	360	0	0	RECT
10 B 3      	BE	B   	S	3	0.6	-1	1000	0	10	-1	10 B 3      		Ancien poteau béton simple rectangulaire	240	360	0	0	RECT
10 B 4      	BE	B   	S	4	0.6	-1	1000	0	10	-1	10 B 4      		Ancien poteau béton simple rectangulaire	240	360	0	0	RECT
10 B 5      	BE	B   	S	5	0.6	-1	1000	0	10	-1	10 B 5      		Ancien poteau béton simple rectangulaire	264	400	0	0	RECT
10 B 6,5    	BE	B   	S	6.5	0.6	-1	1000	0	10	-1	10 B 6,5    		Ancien poteau béton simple rectangulaire	264	400	0	0	RECT
10 B 8      	BE	B   	S	8	0.6	-1	1000	0	10	-1	10 B 8      		Ancien poteau béton simple rectangulaire	288	440	0	0	RECT
10 B 10     	BE	B   	S	10	0.6	-1	1000	0	10	-1	10 B 10     		Ancien poteau béton simple rectangulaire	288	440	0	0	RECT
10 B 12,5   	BE	B   	S	12.5	0.6	-1	1000	0	10	-1	10 B 12,5   		Ancien poteau béton simple rectangulaire	288	440	0	0	RECT
10 B 16     	BE	B   	S	16	0.6	-1	1000	0	10	-1	10 B 16     		Ancien poteau béton simple rectangulaire	312	480	0	0	RECT
10 B 20     	BE	B   	S	20	0.6	-1	1000	0	10	-1	10 B 20     		Ancien poteau béton simple rectangulaire	336	520	0	0	RECT
10 B 25     	BE	B   	S	25	0.6	-1	1000	0	10	-1	10 B 25     		Ancien poteau béton simple rectangulaire	360	560	0	0	RECT
10 B 32     	BE	B   	S	32	0.6	-1	1000	0	10	-1	10 B 32     		Ancien poteau béton simple rectangulaire	360	560	0	0	RECT
10 C 1,5    	BE	C   	S	1.5	1	-1	1000	0	10	-1	10 C 1,5    		Ancien poteau béton simple carré ou rond	300	300	0	0	CARRE
10 C 2      	BE	C   	S	2	1	-1	1000	0	10	-1	10 C 2      		Ancien poteau béton simple carré ou rond	300	300	0	0	CARRE
10 C 2,5    	BE	C   	S	2.5	1	-1	1000	0	10	-1	10 C 2,5    		Ancien poteau béton simple carré ou rond	330	330	0	0	CARRE
10 C 3      	BE	C   	S	3	1	-1	1000	0	10	-1	10 C 3      		Ancien poteau béton simple carré ou rond	330	330	0	0	CARRE
10 C 4      	BE	C   	S	4	1	-1	1000	0	10	-1	10 C 4      		Ancien poteau béton simple carré ou rond	330	330	0	0	CARRE
10 C 5      	BE	C   	S	5	1	-1	1000	0	10	-1	10 C 5      		Ancien poteau béton simple carré ou rond	365	365	0	0	CARRE
10 C 6,5    	BE	C   	S	6.5	1	-1	1000	0	10	-1	10 C 6,5    		Ancien poteau béton simple carré ou rond	365	365	0	0	CARRE
10 C 8      	BE	C   	S	8	1	-1	1000	0	10	-1	10 C 8      		Ancien poteau béton simple carré ou rond	400	400	0	0	CARRE
10 C 10     	BE	C   	S	10	1	-1	1000	0	10	-1	10 C 10     		Ancien poteau béton simple carré ou rond	400	400	0	0	CARRE
10 C 12,5   	BE	C   	S	12.5	1	-1	1000	0	10	-1	10 C 12,5   		Ancien poteau béton simple carré ou rond	435	435	0	0	CARRE
10 C 16     	BE	C   	S	16	1	-1	1000	0	10	-1	10 C 16     		Ancien poteau béton simple carré ou rond	470	470	0	0	CARRE
10 C 20     	BE	C   	S	20	1	-1	1000	0	10	-1	10 C 20     		Ancien poteau béton simple carré ou rond	470	470	0	0	CARRE
10 C 25     	BE	C   	S	25	1	-1	1000	0	10	-1	10 C 25     		Ancien poteau béton simple carré ou rond	505	505	0	0	CARRE
10 C 32     	BE	C   	S	32	1	-1	1000	0	10	-1	10 C 32     		Ancien poteau béton simple carré ou rond	540	540	0	0	CARRE
10 C 40     	BE	C   	S	40	1	-1	1000	0	10	-1	10 C 40     		Ancien poteau béton simple carré ou rond	540	540	0	0	CARRE
10 JA 1,50  	BE	JA  	S	3	0.35	-1	1000	0	10	-1	10 JA 1,50  		Ancien poteau béton jumelé	360	360	0	0	RECTD
10 JA 2     	BE	JA  	S	4	0.35	-1	1000	0	10	-1	10 JA 2     		Ancien poteau béton jumelé	360	360	0	0	RECTD
10 JA 2,5   	BE	JA  	S	5	0.35	-1	1000	0	10	-1	10 JA 2,5   		Ancien poteau béton jumelé	360	360	0	0	RECTD
10 JA 3     	BE	JA  	S	6	0.35	-1	1000	0	10	-1	10 JA 3     		Ancien poteau béton jumelé	392	400	0	0	RECTD
10 JA 4     	BE	JA  	S	8	0.35	-1	1000	0	10	-1	10 JA 4     		Ancien poteau béton jumelé	392	400	0	0	RECTD
10 JA 5     	BE	JA  	S	10	0.35	-1	1000	0	10	-1	10 JA 5     		Ancien poteau béton jumelé	392	400	0	0	RECTD
10 JA 6,5   	BE	JA  	S	13	0.35	-1	1000	0	10	-1	10 JA 6,5   		Ancien poteau béton jumelé	424	440	0	0	RECTD
10 JA 8     	BE	JA  	S	16	0.35	-1	1000	0	10	-1	10 JA 8     		Ancien poteau béton jumelé	424	440	0	0	RECTD
10 JA 10    	BE	JA  	S	20	0.35	-1	1000	0	10	-1	10 JA 10    		Ancien poteau béton jumelé	424	440	0	0	RECTD
10 JA 12,5  	BE	JA  	S	25	0.35	-1	1000	0	10	-1	10 JA 12,5  		Ancien poteau béton jumelé	456	480	0	0	RECTD
10 JA 16    	BE	JA  	S	32	0.35	-1	1000	0	10	-1	10 JA 16    		Ancien poteau béton jumelé	456	480	0	0	RECTD
10 JA 20    	BE	JA  	S	40	0.35	-1	1000	0	10	-1	10 JA 20    		Ancien poteau béton jumelé	488	520	0	0	RECTD
10 JA 25    	BE	JA  	S	50	0.35	-1	1000	0	10	-1	10 JA 25    		Ancien poteau béton jumelé	488	520	0	0	RECTD
10 JB 2     	BE	JB  	S	4	0.6	-1	1000	0	10	-1	10 JB 2     		Ancien poteau béton jumelé	480	360	0	0	RECTD
10 JB 2,5   	BE	JB  	S	5	0.6	-1	1000	0	10	-1	10 JB 2,5   		Ancien poteau béton jumelé	480	360	0	0	RECTD
10 JB 3     	BE	JB  	S	6	0.6	-1	1000	0	10	-1	10 JB 3     		Ancien poteau béton jumelé	480	360	0	0	RECTD
10 JB 4     	BE	JB  	S	8	0.6	-1	1000	0	10	-1	10 JB 4     		Ancien poteau béton jumelé	480	360	0	0	RECTD
10 JB 5     	BE	JB  	S	10	0.6	-1	1000	0	10	-1	10 JB 5     		Ancien poteau béton jumelé	528	400	0	0	RECTD
