Nom	Nature	Classe	Structure	Effort nominal	Tau	Effort transversal en DP	Tau en DP	Caché	Hauteur totale	Element de base	Nom CAPFT	NomGESPOT	Description	Largeurbase	Epaisseurbase	bC3	bC3C	Graphique
14 A 6	BE	A   	S	6	0.35	-1	1000	0	14	-1	14 A 6		Ancien poteau béton simple rectangulaire	244	520	0	0	RECT
11 A 6	BE	A   	S	6	0.35	-1	1000	0	11	-1	11 A 6		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
10 FTZ 1,6	FT	FTZ		8	0.5	6	0.17	0	10	-1	10 FTZ	B30	Bois triple (couple avec 2 jambes de force)					RONDFTD
10 JFT 1,6	FT	JFT 		3	0.8	1.3	0.7	0	10	-1	10 JFT	BP0	Bois Portiques (ou jumelés avec entretoises) 					RONDFTD
10 FT 1,3	FT	FT  		1.3	0	0.45	0	0	10	-1	10 FT	BR0	Bois simple Réhaussé 					RONDFT
7 FTMR	FM	FTM		4	0	-1	0	0	7	-1	7 FTMR	M47	Métal renforcé R1					RONDFT
8 FTMR	FM	FTM		4	0	-1	0	0	8	-1	8 FTMR	M48	Métal renforcé R1					RONDFT
7 S 1	BO	S   	S	1	0	0.35	0	0	7	-1	7 S 1		Simple bois	182	182	35	35	RONDBT
7 S 1,4     	BO	S   	S	1.4	0	0.45	0	0	7	-1	7 S 1,4     		Simple bois	196	196	35	40	RONDBT
8 S 1	BO	S   	S	1	0	0.35	0	0	8	-1	8 S 1		Simple bois	182	182	35	35	RONDBT
8 S 1,4     	BO	S   	S	1.4	0	0.45	0	0	8	-1	8 S 1,4     		Simple bois	196	196	35	40	RONDBT
8 S 2,55    	BO	S   	S	2.55	0	0.85	0	0	8	-1	8 S 2,55    		Simple bois	238	238	50	70	RONDBT
8 A 10      	BE	A   	S	10	0.35	-1	1000	0	8	-1	8 A 10      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
8 A 12,5    	BE	A   	S	12.5	0.35	-1	1000	0	8	-1	8 A 12,5    		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
8 A 16      	BE	A   	S	16	0.35	-1	1000	0	8	-1	8 A 16      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
8 A 2       	BE	A   	S	2	0.35	-1	1000	0	8	-1	8 A 2       		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
8 A 2,5     	BE	A   	S	2.5	0.35	-1	1000	0	8	-1	8 A 2,5     		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
8 A 20      	BE	A   	S	20	0.35	-1	1000	0	8	-1	8 A 20      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
8 A 25      	BE	A   	S	25	0.35	-1	1000	0	8	-1	8 A 25      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
8 A 3       	BE	A   	S	3	0.35	-1	1000	0	8	-1	8 A 3       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
8 A 4       	BE	A   	S	4	0.35	-1	1000	0	8	-1	8 A 4       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
8 A 5       	BE	A   	S	5	0.35	-1	1000	0	8	-1	8 A 5       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
8 A 6	BE	A   	S	6	0.35	-1	1000	0	8	-1	8 A 6		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
8 A 6,5     	BE	A   	S	6.5	0.35	-1	1000	0	8	-1	8 A 6,5     		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
8 A 8       	BE	A   	S	8	0.35	-1	1000	0	8	-1	8 A 8       		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
8 B 10      	BE	B   	S	10	0.6	-1	1000	0	8	-1	8 B 10      		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
8 B 12,5    	BE	B   	S	12.5	0.6	-1	1000	0	8	-1	8 B 12,5    		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
8 B 16      	BE	B   	S	16	0.6	-1	1000	0	8	-1	8 B 16      		Ancien poteau béton simple rectangulaire	300	460	0	0	RECT
8 B 2       	BE	B   	S	2	0.6	-1	1000	0	8	-1	8 B 2       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
8 B 2,5     	BE	B   	S	2.5	0.6	-1	1000	0	8	-1	8 B 2,5     		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
8 B 20      	BE	B   	S	20	0.6	-1	1000	0	8	-1	8 B 20      		Ancien poteau béton simple rectangulaire	324	500	0	0	RECT
8 B 25      	BE	B   	S	25	0.6	-1	1000	0	8	-1	8 B 25      		Ancien poteau béton simple rectangulaire	348	540	0	0	RECT
8 B 3       	BE	B   	S	3	0.6	-1	1000	0	8	-1	8 B 3       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
8 B 32      	BE	B   	S	32	0.6	-1	1000	0	8	-1	8 B 32      		Ancien poteau béton simple rectangulaire	348	540	0	0	RECT
8 B 4       	BE	B   	S	4	0.6	-1	1000	0	8	-1	8 B 4       		Ancien poteau béton simple rectangulaire	228	340	0	0	RECT
8 B 5       	BE	B   	S	5	0.6	-1	1000	0	8	-1	8 B 5       		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
8 B 6,5     	BE	B   	S	6.5	0.6	-1	1000	0	8	-1	8 B 6,5     		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
8 B 8       	BE	B   	S	8	0.6	-1	1000	0	8	-1	8 B 8       		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
8 A 1,50    	BE	A   		1.5	0.35	-1	1000	0	8	0	8 A 1,50    		Ancien poteau béton simple rectangulaire	172	340	0	0	S
8 S 1,9	BO	S   	S	1.9	0	0.65	0	0	8	-1	8 S 1,9		Simple bois	227	227	40	45	RONDBT
9 S 1,9	BO	S   	S	1.9	0	0.65	0	0	9	-1	9 S 1,9		Simple bois	227	227	40	45	RONDBT
8 SC 1,15	BO	SC  		1.15	1	0.45	1	0	8	-1	8 SC 1,15		Ancien simple bois					RONDBT
8 SD 2	BO	SD  		2	1	0.75	1	0	8	-1	8 SD 2		Ancien simple bois					RONDBT
8 SE 3,05	BO	SE  		3.05	1	1.1	1	0	8	-1	8 SE 3,05		Ancien simple bois					RONDBT
9 M 1,4	ME	M	S	1.4	0	-1	1000	0	9	-1	9 M 1,4		Métal simple					RONDBT
9 M 2	ME	M	S	2	0	-1	1000	0	9	-1	9 M 2		Métal simple					RONDBT
9 M 2,55	ME	M	S	2.55	0	-1	1000	0	9	-1	9 M 2,55		Métal simple					RONDBT
9 M 3,25	ME	M	S	3.25	0	-1	1000	0	9	-1	9 M 3,25		Métal simple					RONDBT
9 M 4	ME	M	S	4	0	-1	1000	0	9	-1	9 M 4		Métal simple					RONDBT
10 M 1,4	ME	M	S	1.4	0	-1	1000	0	10	-1	10 M 1,4		Métal simple					RONDBT
10 M 2	ME	M	S	2	0	-1	1000	0	10	-1	10 M 2		Métal simple					RONDBT
10 M 2,55	ME	M	S	2.55	0	-1	1000	0	10	-1	10 M 2,55		Métal simple					RONDBT
10 M 3,25	ME	M	S	3.25	0	-1	1000	0	10	-1	10 M 3,25		Métal simple					RONDBT
